"siteno","station_nm","coords.x1","coords.x2"
"08204005","Leona Rv nr Uvalde",-99.7433888,29.1544077
"08079000","Oyster Ck nr Angleton",-95.4757753,29.15857735
"08164450","Sandy Ck nr Ganado",-96.5463608,29.1602539
"02314200","TENMILE CREEK AT LEBANON STATION",-82.6389958,29.16108158
"08191500","Nueces Rv nr Uvalde",-99.8961713,29.19579516
"02313700","WACCASASSA RIVER NR GULF HAMMOCK",-82.769001,29.20413378
"08175000","Sandies Ck nr Westhoff",-97.4494353,29.2152475
"08181800","San Antonio Rv nr Elmendorf",-98.3558463,29.2221853
"08180800","Medina Rv nr Somerset",-98.5814074,29.26218286
"08181500","Medina Rv at San Antonio",-98.4908493,29.2641276
"08185500","Cibolo Ck at Sutherland Springs",-98.0533333,29.2797222
"08162000","Colorado Rv at Wharton",-96.1038482,29.30913668
"08117500","San Bernard Rv nr Boling",-95.8938421,29.31357967
"08198500","Sabinal Rv at Sabinal",-99.4804722,29.31430556
"08178565","San Antonio Rv at Loop 410",-98.4502932,29.32218127
"08180640","Medina Rv at La Coste",-98.813081,29.3241246
"08181480","Leon Ck at IH 35",-98.5841856,29.32995837
"08180700","Medina Rv nr Macdona",-98.689744,29.33495798
"02323592","SUWANNEE RIVER AB GOPHER RIVER NR SUWANNEE FL",-83.086515,29.33940554
"08116650","Brazos Rv nr Rosharon",-95.5824448,29.3496858
"08178800","Salado Ck at Loop 13",-98.4127925,29.35718017
"08078000","Chocolate Bayou nr Alvin",-95.3230476,29.37154349
"08178050","San Antonio Rv at Mitchell St",-98.4947392,29.39301189
"08178000","San Antonio Rv at San Antonio",-98.495017,29.40967796
"08190000","Nueces Rv at Laguna",-99.997287,29.42856679
"08163500","Lavaca Rv at Hallettsville",-96.9449819,29.4432973
"08185100","Martinez Ck nr Saint Hedwig",-98.1688889,29.44388889
"08114500","Brazos Rv nr Juliff",-95.5329996,29.45551617
"08164300","Navidad Rv nr Hallettsville",-96.812756,29.466908
"08115000","Big Ck nr Needville",-95.8030067,29.47190769
"08174600","Peach Ck bl Dilworth",-97.3166565,29.47412787
"08190500","W Nueces Rv nr Brackettville",-100.2391667,29.48108333
"08173900","Guadalupe Rv at Gonzales",-97.4502702,29.48440414
"08195000","Frio Rv at Concan",-99.7047756,29.48856496
"08198000","Sabinal Rv nr Sabinal",-99.4928241,29.4910644
"08180500","Medina Rv nr Riomedina",-98.9055,29.498
"08177700","Olmos Ck at Dresden Dr",-98.5102958,29.4991192
"08185065","Cibolo Ck nr Saint Hedwig",-98.18625,29.50144444
"08196000","Dry Frio Rv nr Reagan Wells",-99.7814452,29.50467576
"08116400","Dry Ck nr Rosenberg",-95.7468942,29.51190593
"08169792","Guadalupe Rv at FM 1117 nr Seguin",-97.8809444,29.53616667
"08200000","Hondo Ck nr Tarpley",-99.2476889,29.57003056
"08201500","Seco Ck at Miller Rh nr Utopia",-99.4030997,29.573284
"08114000","Brazos Rv at Richmond",-95.7577275,29.5824589
"02323500","SUWANNEE RIVER NEAR WILCOX",-82.9365131,29.58968017
"08173500","San Marcos Rv at Ottine",-97.5880889,29.59260833
"08076997","Clear Ck at Mykawa St nr Pearland",-95.2974366,29.5968991
"08077000","Clear Ck nr Pearland",-95.2866029,29.59745458
"08075400","Sims Bayou at Hiram Clarke St",-95.4460522,29.61884399
"08075605","Berry Bayou at Nevada St",-95.2291011,29.65661915
"08074800","Keegans Bayou at Roark Rd nr Houston",-95.5621664,29.65662136
"08172000","San Marcos Rv at Luling",-97.6508314,29.66634037
"08074810","Brays Bayou at Gessner Dr",-95.5282765,29.6727317
"08075500","Sims Bayou at Houston",-95.2893807,29.67439687
"08179000","Medina Rv nr Pipe Creek",-98.9761429,29.67550339
"08168797","Dry Comal Ck at Loop 337 nr New Braunfels",-98.1548333,29.688
"08075730","Vince Bayou at Pasadena",-95.216323,29.69467363
"08075000","Brays Bayou at Houston",-95.412162,29.69717469
"08169500","Guadalupe Rv at New Braunfels",-98.1066748,29.69800265
"08173000","Plum Ck nr Luling",-97.6036082,29.699673
"08161000","Colorado Rv at Columbus",-96.5369155,29.7063454
"08169000","Comal Rv at New Braunfels",-98.1222083,29.70640833
"08074760","Brays Bayou at Alief",-95.583,29.7091197
"08168500","Guadalupe Rv abv Comal Rv at New Braunfels",-98.1100083,29.7149465
"08178880","Medina Rv at Bandera",-99.070035,29.72383537
"02322016","BLUES CREEK NEAR GAINSVILLE",-82.4314979,29.72829934
"08072300","Buffalo Bayou nr Katy",-95.8068951,29.74328664
"08073700","Buffalo Bayou at Piney Point",-95.5235538,29.7468959
"08074000","Buffalo Bayou at Houston",-95.4085505,29.76022829
"08073500","Buffalo Bayou nr Addicks",-95.6057782,29.7618958
"08073600","Buffalo Bayou at W Belt Dr",-95.5577213,29.76217336
"08067525","Goose Ck at Baytown",-94.9996503,29.77078197
"08183900","Cibolo Ck nr Boerne",-98.7094694,29.77498889
"08074500","Whiteoak Bayou at Houston",-95.3971612,29.77522777
"08183890","Cibolo Ck at Cibolo Nature Cntr nr Boerne",-98.7128306,29.78113056
"02324000","STEINHATCHEE RIVER NEAR CROSS CITY",-83.3215262,29.78661294
"02323000","SUWANNEE RIVER NEAR BELL",-82.924293,29.79134359
"08075770","Hunting Bayou at IH 610",-95.2679907,29.79328217
"08160800","Redgate Ck nr Columbus",-96.5321933,29.79911967
"08075763","Hunting Bayou at Hoffman St",-95.3132696,29.80883745
"08183850","Cibolo Ck at IH 10 abv Boerne",-98.7536379,29.81466345
"08074250","Brickhouse Gully at Costa Rica St",-95.469385,29.82800424
"08072730","Bear Ck nr Barker",-95.6868912,29.8307828
"02320700","SANTA FE RIVER NEAR GRAHAM",-82.2195493,29.84635394
"02322500","SANTA FE RIVER NEAR FORT WHITE",-82.7151204,29.84884769
"08074150","Cole Ck at Deihl Rd",-95.4879965,29.8513369
"08167800","Guadalupe Rv at Sattler",-98.1800106,29.85910758
"08167500","Guadalupe Rv nr Spring Branch",-98.3836275,29.8604957
"08076500","Halls Bayou at Houston",-95.3349365,29.86189143
"08072760","Langham Ck at W Little York Rd nr Addicks",-95.646612,29.86717035
"08074020","Whiteoak Bayou at Alabonson Rd",-95.4804961,29.87078073
"08111700","Mill Ck nr Bellville",-96.2052402,29.88106145
"08170500","San Marcos Rv at San Marcos",-97.9341718,29.88910804
"08160500","Colorado Rv at La Grange",-96.8710913,29.89605925
"08160400","Colorado Rv abv La Grange",-96.9038699,29.9124474
"08076000","Greens Bayou nr Houston",-95.3068796,29.9182784
"08167600","Rebecca Ck nr Spring Branch",-98.3697387,29.91854906
"08172400","Plum Ck at Lockhart",-97.6791667,29.92299833
"08076180","Garners Bayou nr Humble",-95.2339608,29.93386089
"08166500","Guadalupe Rv nr Comfort",-98.892533,29.94938219
"08068720","Cypress Ck at Katy-Hockley Rd nr Hockley",-95.8082835,29.9502237
"02320500","SUWANNEE RIVER AT BRANFORD",-82.9276278,29.955785
"08075900","Greens Bayou nr US Hwy 75 nr Houston",-95.4179936,29.95688886
"08068740","Cypress Ck at House-Hahl Rd nr Cypress",-95.7177249,29.959112
"08449000","Devils Rv nr Juno",-101.1453849,29.96353604
"08167000","Guadalupe Rv at Comfort",-98.8971667,29.96523889
"08067500","Cedar Bayou nr Crosby",-94.9857602,29.97271914
"08068800","Cypress Ck at Grant Rd nr Cypress",-95.5985545,29.97355566
"08171300","Blanco Rv nr Kyle",-97.9100051,29.97938297
"08171000","Blanco Rv at Wimberley",-98.088898,29.9943808
"08071500","San Jacinto Rv nr Huffman",-95.1335413,29.99466384
"02321000","NEW RIVER NR LAKE BUTLER FLA",-82.2739992,29.9982954
"08159500","Colorado Rv at Smithville",-97.1619321,30.01272074
"08068780","Little Cypress Ck nr Cypress",-95.6974463,30.01605437
"08069500","W Fk San Jacinto Rv nr Humble",-95.2579888,30.02716385
"08069000","Cypress Ck nr Westfield",-95.428827,30.0357753
"02330400","NEW RIVER NEAR SUMATRA",-84.843799,30.03881356
"08166200","Guadalupe Rv at Kerrville",-99.163375,30.053266
"02324500","FENHOLLOWAY RIVER AT FOLEY",-83.5579246,30.06549165
"08165500","Guadalupe Rv at Hunt",-99.3217122,30.06993074
"07385700","BYU TECHE @ KEYSTONE LOCK NR ST. MARTINVILLE",-91.8292836,30.07103537
"08068090","W Fk San Jacinto Rv abv Lk Houston nr Porter",-95.2999348,30.0860514
"02324400","FENHOLLOWAY RIVER NEAR FOLEY",-83.4718112,30.09827057
"02320000","SUWANNEE RIVER AT LURAVILLE",-83.1715247,30.09994513
"08166000","Johnson Ck nr Ingram",-99.2831006,30.10020707
"08159200","Colorado Rv at Bastrop",-97.3194368,30.10466154
"08068325","Willow Ck nr Tomball",-95.5466084,30.10549526
"08041700","Pine Island Bayou nr Sour Lake",-94.3346324,30.1060464
"08071280","Luce Bayou abv Lk Houston nr Huffman",-95.0599294,30.10966019
"08068500","Spring Ck nr Spring",-95.4363275,30.11049517
"08068275","Spring Ck nr Tomball",-95.6460559,30.11993899
"08158827","Onion Ck at Twin Creeks Rd nr Manchaca",-97.8211161,30.12632345
"02330300","NEW RIVER NEAR WILMA",-84.8957456,30.1279782
"08111500","Brazos Rv nr Hempstead",-96.1877387,30.12910626
"08068450","Panther Br nr Spring",-95.4777175,30.1343832
"02359315","MARTIN BAYOU AT US 98 AT SPRINGFIELD",-85.6154821,30.13520204
"08070200","E Fk San Jacinto Rv nr New Caney",-95.1243756,30.1454932
"08158810","Bear Ck bl FM 1826 nr Driftwood",-97.9400076,30.15548749
"02326000","ECONFINA RIVER NEAR PERRY",-83.8237679,30.17076448
"02330150","OCHLOCKONEE RIVER NR SMITH CREEK",-84.6679637,30.17658934
"08159000","Onion Ck at US Hwy 183",-97.6886138,30.17798987
"08031000","Cow Bayou nr Mauriceville",-93.9085058,30.18632045
"08158970","Williamson Ck at Jimmy Clay Rd",-97.732504,30.189378
"08068390","Bear Br at Research Blvd",-95.4911111,30.19055556
"08068400","Panther Br at Gosling Rd",-95.4838288,30.192159
"08158840","Slaughter Ck at FM 1826 nr Austin",-97.9033409,30.2090972
"08152900","Pedernales Rv nr Fredericksburg",-98.8697609,30.22048147
"08158930","Williamson Ck at Manchaca Rd",-97.7936168,30.22132064
"08071000","Peach Ck at Splendora",-95.1682662,30.2327137
"08158920","Williamson Ck at Oak Hill",-97.8602848,30.23520806
